Experiment,Year,Sample,FrontArea1um,FrontArea1mm,FrontCount1,BackArea1um,BackArea1mm,BackCount1,FrontDensity1um,FrontDensity1mm,BackDensity1um,BackDensity1mm,TotalArea1um,TotalArea1mm,TotalCount1,TotalDensity1um,TotalDensity1mm,FrontArea2um,FrontArea2mm,FrontCount2,BackArea2um,BackArea2mm,BackCount2,FrontDensity2um,FrontDensity2mm,BackDensity2um,BackDensity2mm,TotalArea2um,TotalArea2mm,TotalCount2,TotalDensity2um,TotalDensity2mm,AverageFrontDensityum,SDFrontum,AverageFrontDensitymm,SDFrontmm,AverageBackDensityum,SDBackum,AverageBackDensitymm,SDBackmm,AverageTotalDensityum,SDTotalum,AverageTotalDensitymm,SDTotalmm
exp3,2016,2016-284t,1813817,1.813817,664,936924,0.936924,173,0.000366079,366.0788271,0.000184647,184.6467803,2750741,2.750741,837,0.000304282,304.2816463,1731028,1.731028,686,1288505,1.288505,219,0.000396296,396.2963049,0.000169964,169.9644161,3019533,3.019533,905,0.000299715,299.7152209,0.000381188,2.14E-05,381.187566,2.14E+01,0.000177306,1.04E-05,177.3055982,10.38199928,0.000301998,3.22895E-06,301.9984336,3.228950385
exp3,2016,2016-285t,1544576,1.544576,194,1051870,1.05187,103,0.000125601,125.6008121,9.79208E-05,97.92084573,2596446,2.596446,297,0.000114387,114.3871276,1641099,1.641099,195,1199005,1.199005,131,0.000118823,118.8228132,0.000109257,109.2572591,2840104,2.840104,326,0.000114785,114.784529,0.000122212,4.79E-06,122.2118127,4.79E+00,0.000103589,8.02E-06,103.5890524,8.016054798,0.000114586,2.81005E-07,114.5858283,0.281005212
exp3,2016,2016-286t,2889011,2.889011,755,3239040,3.23904,402,0.000261335,261.3351074,0.000124111,124.1108477,6128051,6.128051,1157,0.000188804,188.8039117,2410929,2.410929,562,1923891,1.923891,160,0.000233105,233.105164,8.31648E-05,83.16479468,4334820,4.33482,722,0.000166558,166.5582423,0.00024722,2.00E-05,247.2201357,2.00E+01,0.000103638,2.90E-05,103.6378212,28.95323172,0.000177681,1.57301E-05,177.681077,15.73006368
exp3,2016,2016-287t,2931582,2.931582,775,3179523,3.179523,482,0.000264362,264.3623818,0.000151595,151.5950663,6111105,6.111105,1257,0.000205691,205.6911148,2490867,2.490867,648,2013079,2.013079,322,0.00026015,260.1503814,0.000159954,159.9539809,4503946,4.503946,970,0.000215367,215.3667029,0.000262256,2.98E-06,262.2563816,2.98E+00,0.000155775,5.91E-06,155.7745236,5.910645224,0.000210529,6.84167E-06,210.5289088,6.841673961
exp3,2016,2016-288t,2569803,2.569803,653,1729435,1.729435,302,0.000254105,254.1050812,0.000174624,174.6235042,4299238,4.299238,955,0.000222132,222.1323872,2598132,2.598132,638,1646177,1.646177,254,0.000245561,245.5610415,0.000154297,154.2968952,4244309,4.244309,892,0.000210164,210.1637746,0.000249833,6.04E-06,249.8330614,6.04E+00,0.00016446,1.44E-05,164.4601997,14.37308309,0.000216148,8.46309E-06,216.1480809,8.463087119
exp3,2016,2016-289t,2924046,2.924046,800,2046766,2.046766,506,0.000273594,273.5935071,0.000247219,247.2192718,4970812,4.970812,1306,0.000262734,262.7337344,2715467,2.715467,695,1496063,1.496063,366,0.000255941,255.9412433,0.000244642,244.642104,4211530,4.21153,1061,0.000251927,251.9274468,0.000264767,1.25E-05,264.7673752,1.25E+01,0.000245931,1.82E-06,245.9306879,1.822332822,0.000257331,7.6412E-06,257.3305906,7.641199279
exp3,2016,2016-290t,2839827,2.839827,557,2840814,2.840814,466,0.000196139,196.1387084,0.000164037,164.0374907,5680641,5.680641,1023,0.000180085,180.0853108,2443752,2.443752,459,1535331,1.535331,289,0.000187826,187.8259332,0.000188233,188.233026,3979083,3.979083,748,0.000187983,187.9830102,0.000191982,5.88E-06,191.9823208,5.88E+00,0.000176135,1.71E-05,176.1352583,17.10882709,0.000184034,5.58452E-06,184.0341605,5.584516774
exp3,2016,2016-291t,2874187,2.874187,616,2516399,2.516399,529,0.000214321,214.321476,0.000210221,210.2210341,5390586,5.390586,1145,0.000212407,212.4073338,2928652,2.928652,626,1598823,1.598823,357,0.00021375,213.7502168,0.000223289,223.2892572,4527475,4.527475,983,0.000217119,217.1188135,0.000214036,4.04E-07,214.0358464,4.04E-01,0.000216755,9.24E-06,216.7551456,9.24062914,0.000214763,3.33152E-06,214.7630736,3.331519206
exp3,2016,2016-292t,1496334,1.496334,192,1134186,1.134186,99,0.000128314,128.3135984,8.72873E-05,87.28727034,2630520,2.63052,291,0.000110625,110.6245153,1478094,1.478094,162,1154901,1.154901,77,0.000109601,109.6006073,6.66724E-05,66.67238144,2632995,2.632995,239,9.07712E-05,90.77115604,0.000118957,1.32E-05,118.9571029,1.32E+01,7.69798E-05,1.46E-05,76.97982589,14.57692773,0.000100698,1.40384E-05,100.6978357,14.03844496
exp3,2016,2016-293t,2920756,2.920756,767,2611988,2.611988,340,0.000262603,262.6032438,0.000130169,130.1690513,5532744,5.532744,1107,0.000200082,200.0815509,2878440,2.87844,733,1746496,1.746496,246,0.000254652,254.6518253,0.000140853,140.8534574,4624936,4.624936,979,0.000211679,211.6786048,0.000258628,5.62E-06,258.6275346,5.62E+00,0.000135511,7.56E-06,135.5112544,7.555016024,0.00020588,8.20036E-06,205.8800779,8.200355522
exp3,2016,2016-294t,2647621,2.647621,697,1729303,1.729303,235,0.000263255,263.2552016,0.000135893,135.8929002,4376924,4.376924,932,0.000212935,212.9349287,2698830,2.69883,712,1529291,1.529291,213,0.000263818,263.8180248,0.00013928,139.2802286,4228121,4.228121,925,0.000218773,218.7733038,0.000263537,3.98E-07,263.5366132,3.98E-01,0.000137587,2.40E-06,137.5865644,2.395202844,0.000215854,4.12835E-06,215.8541163,4.128354597
exp3,2016,2016-295t,1737579,1.737579,303,1185964,1.185964,181,0.000174381,174.3805605,0.000152618,152.6184606,2923543,2.923543,484,0.000165553,165.5525504,1896693,1.896693,339,1302814,1.302814,208,0.000178732,178.7321406,0.000159654,159.6544096,3199507,3.199507,547,0.000170964,170.9638391,0.000176556,3.08E-06,176.5563506,3.08E+00,0.000156136,4.98E-06,156.1364351,4.97516726,0.000168258,3.82636E-06,168.2581948,3.826358911
exp3,2016,2016-296t,2544801,2.544801,848,1949766,1.949766,355,0.000333228,333.2284135,0.000182073,182.0731308,4494567,4.494567,1203,0.000267656,267.6564839,2593492,2.593492,877,1401686,1.401686,297,0.000338154,338.1541181,0.000211888,211.8876838,3995178,3.995178,1174,0.000293854,293.8542413,0.000335691,3.48E-06,335.6912658,3.48E+00,0.00019698,2.11E-05,196.9804073,21.08207261,0.000280755,1.85246E-05,280.7553626,18.52461188
exp3,2016,2016-297t,2384197,2.384197,506,1728211,1.728211,142,0.000212231,212.2307846,8.21659E-05,82.16589294,4112408,4.112408,648,0.000157572,157.5719141,2391287,2.391287,492,1439957,1.439957,119,0.000205747,205.7469471,8.26414E-05,82.64135665,3831244,3.831244,611,0.000159478,159.4782269,0.000208989,4.58E-06,208.9888659,4.58E+00,8.24036E-05,3.36E-07,82.40362479,0.336203616,0.000158525,1.34797E-06,158.5250705,1.347966739
exp3,2016,2016-298t,3012025,3.012025,677,1947749,1.947749,271,0.000224766,224.7657307,0.000139135,139.1349707,4959774,4.959774,948,0.000191138,191.1377414,2755418,2.755418,534,1637087,1.637087,324,0.0001938,193.799997,0.000197913,197.9125117,4392505,4.392505,858,0.000195333,195.3327316,0.000209283,2.19E-05,209.2828638,2.19E+01,0.000168524,4.16E-05,168.5237412,41.56199782,0.000193235,2.96631E-06,193.2352365,2.966306013
exp3,2016,2016-299t,3019101,3.019101,651,2280749,2.280749,252,0.000215627,215.6271022,0.00011049,110.4900188,5299850,5.29985,903,0.000170382,170.3821806,3101043,3.101043,672,1627435,1.627435,328,0.000216701,216.7012841,0.000201544,201.5441477,4728478,4.728478,1000,0.000211485,211.4845411,0.000216164,7.60E-07,216.1641931,7.60E-01,0.000156017,6.44E-05,156.0170833,64.38499196,0.000190933,2.90638E-05,190.9333609,29.06375782
exp3,2016,2016-300t,2721071,2.721071,672,1753094,1.753094,164,0.000246962,246.9615824,9.35489E-05,93.54889127,4474165,4.474165,836,0.000186851,186.8505073,2782986,2.782986,685,1686898,1.686898,314,0.000246139,246.1385002,0.00018614,186.140478,4469884,4.469884,999,0.000223496,223.4957328,0.00024655,5.82E-07,246.5500413,5.82E-01,0.000139845,6.55E-05,139.8446846,65.47213883,0.000205173,2.59121E-05,205.17312,25.91208743
