Sample,Experiment,MO2,pH.level,CO2.level,Temp.level,pH,pH.sd,CO2,CO2.sd,Temp,Temp.sd,Salinity,DO,DO.sd,PO2,PO2.sd,Alkalinity,Alkalinity.sd,DIC,DIC.sd,fCO2,fCO2.sd,Carbonate,Carbonate.sd
2016-175,exp1,NA,pH 7.5,2200uatm,17C,7.49,0.13,2037,188,16.9,0.3,30,8.27,NA,21.2,NA,2031,12,2058,21,2030,188,32,2
2016-176,exp1,0.024128011,pH 7.5,2200uatm,17C,7.49,0.13,2037,188,16.9,0.3,30,8.27,NA,21.2,NA,2031,12,2058,21,2030,188,32,2
2016-177,exp1,0.020147127,pH 7.5,2200uatm,17C,7.49,0.13,2037,188,16.9,0.3,30,8.27,NA,21.2,NA,2031,12,2058,21,2030,188,32,2
2016-179,exp1,0.025465791,pH 7.5,2200uatm,17C,7.49,0.13,2037,188,16.9,0.3,30,8.27,NA,21.2,NA,2031,12,2058,21,2030,188,32,2
2016-180,exp1,0.010830806,pH 7.5,2200uatm,17C,7.49,0.13,2037,188,16.9,0.3,30,8.27,NA,21.2,NA,2031,12,2058,21,2030,188,32,2
2016-181,exp1,0.022536892,pH 7.5,2200uatm,17C,7.49,0.13,2037,188,16.9,0.3,30,8.27,NA,21.2,NA,2031,12,2058,21,2030,188,32,2
2016-182,exp1,0.017935026,pH 7.5,2200uatm,17C,7.49,0.13,2037,188,16.9,0.3,30,8.27,NA,21.2,NA,2031,12,2058,21,2030,188,32,2
2016-183,exp1,0.021212223,pH 7.5,2200uatm,17C,7.49,0.13,2037,188,16.9,0.3,30,8.27,NA,21.2,NA,2031,12,2058,21,2030,188,32,2
2016-184,exp1,0.026656525,pH 7.5,2200uatm,17C,7.49,0.13,2037,188,16.9,0.3,30,8.27,NA,21.2,NA,2031,12,2058,21,2030,188,32,2
2016-185,exp1,0.019238772,pH 7.5,2200uatm,17C,7.49,0.13,2037,188,16.9,0.3,30,8.27,NA,21.2,NA,2031,12,2058,21,2030,188,32,2
2016-187,exp1,0.010212565,pH 7.5,2200uatm,17C,7.49,0.13,2037,188,16.9,0.3,30,8.27,NA,21.2,NA,2031,12,2058,21,2030,188,32,2
2016-188,exp1,0.022140083,pH 7.5,2200uatm,17C,7.49,0.13,2037,188,16.9,0.3,30,8.27,NA,21.2,NA,2031,12,2058,21,2030,188,32,2
2016-189,exp1,0.010531125,pH 7.5,2200uatm,17C,7.49,0.13,2037,188,16.9,0.3,30,8.27,NA,21.2,NA,2031,12,2058,21,2030,188,32,2
2016-190,exp1,0.01919097,pH 7.5,2200uatm,17C,7.49,0.13,2037,188,16.9,0.3,30,8.27,NA,21.2,NA,2031,12,2058,21,2030,188,32,2
2016-191,exp1,0.010841442,pH 8.2,400uatm,17C,8.17,0.12,368,18,16.9,0.3,30,8.27,NA,21.2,NA,2038,17,1851,8,367,18,135,6
2016-193,exp1,0.014390382,pH 8.2,400uatm,17C,8.17,0.12,368,18,16.9,0.3,30,8.27,NA,21.2,NA,2038,17,1851,8,367,18,135,6
2016-194,exp1,0.021694509,pH 8.2,400uatm,17C,8.17,0.12,368,18,16.9,0.3,30,8.27,NA,21.2,NA,2038,17,1851,8,367,18,135,6
2016-195,exp1,0.011659072,pH 8.2,400uatm,17C,8.17,0.12,368,18,16.9,0.3,30,8.27,NA,21.2,NA,2038,17,1851,8,367,18,135,6
2016-196,exp1,0.00813389,pH 8.2,400uatm,17C,8.17,0.12,368,18,16.9,0.3,30,8.27,NA,21.2,NA,2038,17,1851,8,367,18,135,6
2016-197,exp1,0.009088555,pH 8.2,400uatm,17C,8.17,0.12,368,18,16.9,0.3,30,8.27,NA,21.2,NA,2038,17,1851,8,367,18,135,6
2016-200,exp1,0.01395429,pH 8.2,400uatm,17C,8.17,0.12,368,18,16.9,0.3,30,8.27,NA,21.2,NA,2038,17,1851,8,367,18,135,6
2016-346,exp3,NA,pH 7.5,2200uatm,24C,7.49,0.02,2157,92,23.7,0.3,31,7.69,0.14,22.4,0.4,2048,22,2050,25,2151,92,42,1
2016-347,exp3,0.015461126,pH 7.5,2200uatm,24C,7.49,0.02,2157,92,23.7,0.3,31,7.69,0.14,22.4,0.4,2048,22,2050,25,2151,92,42,1
2016-348,exp3,0.015964722,pH 7.5,2200uatm,24C,7.49,0.02,2157,92,23.7,0.3,31,7.69,0.14,22.4,0.4,2048,22,2050,25,2151,92,42,1
2016-349,exp3,0.007590677,pH 7.5,2200uatm,24C,7.49,0.02,2157,92,23.7,0.3,31,7.69,0.14,22.4,0.4,2048,22,2050,25,2151,92,42,1
