Experiment,Year,Run,Sample,Side1,YolkArea1px,YolkArea1um,YolkArea1mm,YolkCount1,BodyArea1px,BodyArea1um,BodyArea1mm,BodyCount1,YolkDensity1um,YolkDensity1mm,BodyDensity1um,BodyDensity1mm,TotalArea1um,TotalArea1mm,TotalCount1,TotalDensity1um,TotalDensity1mm,Side2,YolkArea2px,YolkArea2um,YolkArea2mm,YolkCount2,BodyArea2px,BodyArea2um,BodyArea2mm,BodyCount2,YolkDensity2um,YolkDensity2mm,BodyDensity2um,BodyDensity2mm,TotalArea2um,TotalArea2mm,TotalCount2,TotalDensity2um,TotalDensity2mm,AverageYolkDensityum,SDYolkum,AverageYolkDensitymm,SDYolkmm,AverageBodyDensityum,SDBodyum,AverageBodyDensitymm,SDBodymm,AverageTotalDensityum,SDTotalum,AverageTotalDensitymm,SDTotalmm
exp3,2016,run14,2016-525,R,167438,149001.1455,0.149001145,128,611786,544421.3068,0.544421307,263,0.000859054,859.0537986,0.000483082,483.0817543,693422.4523,0.693422452,391,0.00056387,563.8698296,L,201472,179287.6096,0.17928761,30,651114,579418.8406,0.579418841,108,0.000167329,167.3289084,0.000186394,186.3936628,758706.4502,0.75870645,138,0.000181889,181.8885288,0.000513191,0.000489123,513.1913535,489.1233606,0.000334738,0.00020979,334.7377086,209.7901614,0.000372879,0.000270102,372.8791792,270.1015681
exp3,2016,run14,2016-527,L,166458,148129.0548,0.148129055,108,788662,701821.2197,0.70182122,229,0.000729094,729.0939659,0.000326294,326.2939244,849950.2744,0.849950274,337,0.000396494,396.4937834,R,261122,232369.4568,0.232369457,97,648052,576694.0021,0.576694002,109,0.000417439,417.438683,0.000189008,189.0083816,809063.4588,0.809063459,206,0.000254615,254.61538,0.000573266,0.000220374,573.2663244,220.373564,0.000257651,9.71E-05,257.651153,97.07553829,0.000325555,0.000100323,325.5545817,100.3231812
exp3,2016,run14,2016-528,R,286996,255394.431,0.255394431,84,496598,441916.8339,0.441916834,116,0.000328903,328.9030213,0.000262493,262.4928292,697311.2649,0.697311265,200,0.000286816,286.8159602,R,306371,272636.0201,0.27263602,54,592105,526907.4119,0.526907412,73,0.000198066,198.0662716,0.000138544,138.5442648,799543.432,0.799543432,127,0.000158841,158.8406519,0.000263485,9.25E-05,263.4846465,92.51555299,0.000200519,8.76E-05,200.518547,87.64487041,0.000222828,9.05E-05,222.8283061,90.49220828
exp3,2016,run14,2016-529,R,152683,135870.8411,0.135870841,88,619601,551375.7852,0.551375785,240,0.000647674,647.673918,0.000435275,435.2748279,687246.6263,0.687246626,328,0.000477267,477.2668027,L,232313,206732.6599,0.20673266,79,639412,569005.3657,0.569005366,78,0.000382136,382.1360401,0.000137081,137.0813084,775738.0256,0.775738026,157,0.000202388,202.387913,0.000514905,0.000187764,514.904979,187.7636342,0.000286178,0.000210855,286.1780681,210.8546597,0.000339827,0.000194369,339.8273578,194.3687269
exp3,2016,run14,2016-530,R,226233,201322.138,0.201322138,104,603649,537180.2844,0.537180284,304,0.000516585,516.5850166,0.000565918,565.9180146,738502.4224,0.738502422,408,0.000552469,552.4694133,R,250927,223297.0438,0.223297044,92,749992,667409.2326,0.667409233,234,0.000412007,412.0072457,0.000350609,350.609474,890706.2764,0.890706276,326,0.000366002,366.0016872,0.000464296,7.39E-05,464.2961311,73.947651,0.000458264,0.000152246,458.2637443,152.2461291,0.000459236,0.000131853,459.2355503,131.8525936
exp3,2016,run14,2016-531,R,141389,125820.4407,0.125820441,42,705803,628085.951,0.628085951,247,0.000333809,333.8090358,0.000393258,393.2582787,753906.3918,0.753906392,289,0.000383337,383.3367155,R,245549,218511.2237,0.218511224,34,518916,461777.3647,0.461777365,108,0.000155598,155.5984147,0.000233879,233.8789387,680288.5884,0.680288588,142,0.000208735,208.7349434,0.000244704,0.000126014,244.7037252,126.0139386,0.000313569,0.000112698,313.5686087,112.6982121,0.000296036,0.000123462,296.0358294,123.462097
exp3,2016,run14,2016-533,R,267069,237661.6235,0.237661624,128,505954,450242.6304,0.45024263,229,0.000538581,538.5808534,0.000508615,508.6146547,687904.2539,0.687904254,357,0.000518968,518.9675714,R,393303,349995.8045,0.349995804,143,520531,463214.5346,0.463214535,103,0.000408576,408.5763262,0.000222359,222.3591712,813210.3391,0.813210339,246,0.000302505,302.5047619,0.000473579,9.19E-05,473.5785898,91.92708271,0.000365487,0.000202413,365.486913,202.4131936,0.000410736,0.000153062,410.7361666,153.0623205
exp3,2016,run14,2016-534,R,223385,198787.7356,0.198787736,63,819133,728937.0112,0.728937011,161,0.000316921,316.9209599,0.00022087,220.8695642,927724.7468,0.927724747,224,0.000241451,241.4509269,L,384612,342261.7838,0.342261784,42,752214,669386.5648,0.669386565,74,0.000122713,122.7130868,0.000110549,110.5489771,1011648.349,1.011648349,116,0.000114664,114.6643497,0.000219817,0.000137326,219.8170234,137.325704,0.000165709,7.80E-05,165.7092706,78.00843527,0.000178058,8.97E-05,178.0576383,89.65164849
exp3,2016,run14,2016-535,R,101321,90164.38956,0.09016439,61,595781,530178.6419,0.530178642,341,0.000676542,676.5420395,0.000643179,643.1794362,620343.0315,0.620343031,402,0.000648029,648.0285578,R,117958,104969.464,0.104969464,44,735869,654841.3377,0.654841338,193,0.00041917,419.1695215,0.000294728,294.7278812,759810.8018,0.759810802,237,0.00031192,311.9197561,0.000547856,0.00018199,547.8557805,181.9898528,0.000468954,0.000246392,468.9536587,246.3924575,0.000479974,0.000237665,479.974157,237.6648128
exp3,2016,run14,2016-536,R,187463,166821.162,0.166821162,91,576577,513089.2237,0.513089224,144,0.000545494,545.4943419,0.000280653,280.6529417,679910.3858,0.679910386,235,0.000345634,345.6337848,R,238393,212143.1818,0.212143182,47,649994,578422.1655,0.578422165,110,0.000221548,221.5484825,0.000190173,190.1725186,790565.3472,0.790565347,157,0.000198592,198.5920589,0.000383521,0.000229064,383.5214122,229.0643139,0.000235413,6.40E-05,235.4127301,63.97932077,0.000272113,0.000103974,272.1129219,103.9742015
exp3,2016,run14,2016-537,R,226767,201797.3384,0.201797338,63,556146,494907.9124,0.494907912,219,0.000312194,312.194405,0.000442507,442.5065643,696705.2509,0.696705251,282,0.000404762,404.7622716,R,234323,208521.3357,0.208521336,30,689145,613262.1889,0.613262189,160,0.00014387,143.8701699,0.0002609,260.8998286,821783.5246,0.821783525,190,0.000231204,231.2044405,0.000228032,0.000119023,228.0322875,119.0232081,0.000351703,0.000128415,351.7031965,128.4153543,0.000317983,0.000122724,317.9833561,122.7239193
exp3,2016,run14,2016-539,R,233934,208175.1691,0.208175169,33,439524,391127.3394,0.391127339,133,0.00015852,158.5203468,0.000340043,340.0427089,599302.5085,0.599302509,166,0.000276989,276.9886621,L,183664,163440.4758,0.163440476,47,749586,667047.9379,0.667047938,131,0.000287566,287.5664659,0.000196388,196.3876845,830488.4136,0.830488414,178,0.000214332,214.3317078,0.000223043,9.12E-05,223.0434064,91.24938591,0.000268215,0.000101579,268.2151967,101.5794418,0.00024566,4.43E-05,245.6601849,44.30515725
exp3,2016,run14,2016-540,R,170029,151306.8465,0.151306846,81,500161,445087.5065,0.445087507,289,0.000535336,535.335987,0.000649311,649.3105193,596394.353,0.596394353,370,0.000620395,620.3948749,R,185237,164840.2703,0.16484027,45,654479,582413.3153,0.582413315,230,0.000272992,272.9915446,0.000394909,394.9085537,747253.5856,0.747253586,275,0.000368014,368.014293,0.000404164,0.000185506,404.1637658,185.5055342,0.00052211,0.000179889,522.1095365,179.889355,0.000494205,0.00017846,494.204584,178.4600209
exp3,2016,run14,2016-541,R,167129,148726.1699,0.14872617,80,543545,483694.4278,0.483694428,305,0.000537901,537.901299,0.000630563,630.5633938,632420.5978,0.632420598,385,0.000608772,608.7720757,R,224851,200092.3121,0.200092312,70,639664,569229.6176,0.569229618,211,0.000349839,349.8385283,0.000370676,370.6764256,769321.9297,0.76932193,281,0.000365257,365.2567139,0.00044387,0.00013298,443.8699137,132.9804605,0.00050062,0.000183768,500.6199097,183.7678376,0.000487014,0.000172191,487.0143948,172.1913636
exp3,2016,run14,2016-542,R,132168,117614.7792,0.117614779,110,614676,546993.0845,0.546993085,359,0.000935257,935.256613,0.000656315,656.3154273,664607.8637,0.664607864,469,0.000705679,705.6792819,L,273473,243360.4693,0.243360469,79,584624,520250.1563,0.520250156,130,0.000324621,324.6213333,0.00024988,249.8797904,763610.6255,0.763610626,209,0.0002737,273.6997012,0.000629939,0.000431784,629.9389732,431.7843471,0.000453098,0.000287393,453.0976089,287.393395,0.000489689,0.000305456,489.6894915,305.4556909
exp3,2016,run14,2016-544,L,162133,144280.2871,0.144280287,100,739948,658471.1928,0.658471193,392,0.000693095,693.095377,0.000595318,595.3183743,802751.4799,0.80275148,492,0.000612892,612.8920498,R,257052,228747.6107,0.228747611,25,671998,598003.2713,0.598003271,285,0.000109291,109.290759,0.000476586,476.5860216,826750.8821,0.826750882,310,0.000374962,374.9618013,0.000401193,0.000412812,401.193068,412.8122042,0.000535952,8.40E-05,535.9521979,83.95645171,0.000493927,0.000168242,493.9269256,168.2420921
exp3,2016,run14,2016-545,R,306476,272729.4584,0.272729458,143,441301,392708.6712,0.392708671,228,0.000524329,524.3291313,0.000580583,580.5830548,665438.1296,0.66543813,371,0.000557527,557.5274146,R,283354,252153.4572,0.252153457,72,609310,542217.943,0.542217943,146,0.00028554,285.5404038,0.000269264,269.2644201,794371.4002,0.7943714,218,0.000274431,274.4308266,0.000404935,0.000168849,404.9347676,168.8491285,0.000424924,0.000220136,424.9237375,220.1355177,0.000415979,0.00020018,415.9791206,200.1795171
